doi,question_ids,title
10.1007/s00454-011-9344-x,tdap-q1,"Persistent Cohomology and Circular Coordinates"
10.1007/978-3-030-43408-3_17,tdap-q1,"Sparse Circular Coordinates via Principal Z-Bundles"
10.4230/lipics.socg.2023.57,tdap-q1,"Toroidal Coordinates: Decorrelating Circular Coordinates With Lattice Reduction"
10.1007/s00454-004-1146-y,tdap-q2,"Computing Persistent Homology"
10.1140/epjds/s13688-017-0109-5,tdap-q2,"A roadmap for the computation of persistent homology"
10.1137/1.9781611978957.15,tdap-q2,"Distributed Computation of Persistent Cohomology"
